 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  annee   numero_lot   lot_emplacement        type_appartement     numero_serie     compteur_type   compteur_emplacement   index_n1   index_n   index_compteur_demonte   index_nouveau_compteur   consommation   etat_code            etat_libelle                                                 forfait   commentaire                                                                                                                                                                
 ------- ------------ ---------------------- -------------------- ---------------- --------------- ---------------------- ---------- --------- ------------------------ ------------------------ -------------- -------------------- ------------------------------------------------------------ --------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
  2018    120          5ème (coursive 2)      4 pièces             IMP-120-SAL-EF   EF              Salle de bain          814        853                                                         39.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    121          5ème (coursive 1)      2 pièces ou studio   IMP-121-CUI-EC   EC              Cuisine                0          16                                                          16.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    121          5ème (coursive 1)      2 pièces ou studio   IMP-121-SAL-EC   EC              Salle de bain          500        509                                                         9.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    121          5ème (coursive 1)      2 pièces ou studio   IMP-121-CUI-EF   EF              Cuisine                163        196                                                         33.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    121          5ème (coursive 1)      2 pièces ou studio   IMP-121-SAL-EF   EF              Salle de bain          241        281                                                         40.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    122          6ème Couloir Gauche    3 pièces             IMP-122-CUI-EC   EC              Cuisine                12         16                                                          4.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    122          6ème Couloir Gauche    3 pièces             IMP-122-SAL-EC   EC              Salle de bain          216        230                                                         14.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    122          6ème Couloir Gauche    3 pièces             IMP-122-CUI-EF   EF              Cuisine                318        324                                                         6.000          actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    122          6ème Couloir Gauche    3 pièces             IMP-122-SAL-EF   EF              Salle de bain          789        845                                                         56.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    123          6ème Couloir Face      5 pièces             IMP-123-CUI-EC   EC              Cuisine                7          7                                                           0.000          forfait              Index Compteur non communiqué                                1         FORFAIT - pas de relevé                                                                                                                                                    
  2018    123          6ème Couloir Face      5 pièces             IMP-123-SAL-EC   EC              Salle de bain          7          7                                                           0.000          forfait              Index Compteur non communiqué                                1         FORFAIT - pas de relevé                                                                                                                                                    
  2018    123          6ème Couloir Face      5 pièces             IMP-123-CUI-EF   EF              Cuisine                16         16                                                          0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    123          6ème Couloir Face      5 pièces             IMP-123-SAL-EF   EF              Salle de bain          32         32                                                          0.000          forfait              Index Compteur non communiqué                                1         pas de relevé ??? FORFAIT                                                                                                                                                  
  2018    124          6ème (coursive 2)      4 pièces             IMP-124-CUI-EC   EC              Cuisine                394        405                                                         11.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    124          6ème (coursive 2)      4 pièces             IMP-124-SAL-EC   EC              Salle de bain          902        925                                                         23.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    124          6ème (coursive 2)      4 pièces             IMP-124-CUI-EF   EF              Cuisine                1140       1175                                                        35.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    124          6ème (coursive 2)      4 pièces             IMP-124-SAL-EF   EF              Salle de bain          1200       1245                                                        45.000         actif                En fonctionnement                                            0         OK                                                                                                                                                                         
  2018    125          6ème (coursive 1)      2 pièces ou studio   148029/10        EC              Cuisine                26         26                                                          0.000          supprime             Suppression définitive d'un compteur                         0         OK | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine à partir de 2019                                                                       
  2018    125          6ème (coursive 1)      2 pièces ou studio   94246359         EC              Salle de bain          96         98                                                          2.000          actif                En fonctionnement                                            0         OK | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine à partir de 2019                                                                       
  2018    125          6ème (coursive 1)      2 pièces ou studio   09091612         EF              Cuisine                126        126                                                         0.000          bloque               Compteur bloqué                                              0         PB compteur cuisine - FORFAIT | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine à partir de 2019                                            
  2018    125          6ème (coursive 1)      2 pièces ou studio   95191326         EF              Salle de bain          468        474                                                         6.000          actif                En fonctionnement                                            0         PB compteur cuisine - FORFAIT | Suppression des compteurs cuisine, une chambre a été installée dans la cuisine à partir de 2019                                            
